start,end,no_model,cond,B_X_n,B_Lag_1,Beta_X_n,Beta_Lag_1,R2,series_code,series_name,variant,window,lags
87,111,False,96.72276781601994,0.010061208457875021,-0.0177469331180179,6.746904242453633,-13.031974584654492,0.9402772862012622,25,Производство готовых металличес,adj_smoothed,24,3
88,112,False,85.78168372693433,0.010461339888644505,-0.01821619719691341,8.05361456035393,-14.434711790731555,0.9271835641416237,25,Производство готовых металличес,adj_smoothed,24,3
89,113,False,99.20418523041417,0.009205607076770771,-0.014767174443044843,6.960360898502142,-11.207417722260828,0.9433075351994339,25,Производство готовых металличес,adj_smoothed,24,3
90,114,False,127.5794144928079,0.009966468940330143,-0.01651443027342382,7.577686356015656,-12.66548903267525,0.9397781245685394,25,Производство готовых металличес,adj_smoothed,24,3
91,115,False,126.02157877522394,0.010446497415688934,-0.01664370880666292,7.895963184036187,-12.875766192194561,0.9441233435986384,25,Производство готовых металличес,adj_smoothed,24,3
92,116,False,163.49052660233284,0.012629657828569873,-0.02372816696239317,9.236499953360862,-17.98408815286793,0.9625493636212171,25,Производство готовых металличес,adj_smoothed,24,3
93,117,False,161.6354720746231,0.01170038174203607,-0.02156146663386089,8.091866541744734,-15.602545817469212,0.9838980927441202,25,Производство готовых металличес,adj_smoothed,24,3
94,118,False,188.9119768611375,0.011110899396953417,-0.020330375113382104,7.16083795658397,-13.849489884397926,0.9835695404074324,25,Производство готовых металличес,adj_smoothed,24,3
95,119,False,176.64224482780247,0.01127248383851532,-0.021352820722615577,6.800739426241336,-13.697754763618537,0.9774944979370351,25,Производство готовых металличес,adj_smoothed,24,3
96,120,False,145.93444795352517,0.011660414041834424,-0.022694444261432217,6.570585827534589,-13.616566658299789,0.984309798248541,25,Производство готовых металличес,adj_smoothed,24,3
97,121,False,132.62201600156632,0.00975344300850816,-0.017980819620870385,5.0523008788511845,-10.080238219878327,0.9572725718408069,25,Производство готовых металличес,adj_smoothed,24,3
98,122,False,99.64138102702977,0.011701661297334956,-0.023407268884204635,5.862034542897822,-12.843366948836398,0.9471014882900302,25,Производство готовых металличес,adj_smoothed,24,3
99,123,False,70.18450204810378,0.010827886435713741,-0.021101070887671547,5.626366082861572,-11.673612197362246,0.9394781587387174,25,Производство готовых металличес,adj_smoothed,24,3
100,124,False,66.7478122470182,0.010442235075525634,-0.02039023237460994,5.794432663025027,-11.32349386691374,0.9281749098988791,25,Производство готовых металличес,adj_smoothed,24,3
101,125,False,61.41889196949937,0.010294560255244403,-0.019867263975591937,6.157155226846679,-11.26732375579539,0.9239473724615079,25,Производство готовых металличес,adj_smoothed,24,3
102,126,False,61.87124418678332,0.010259827389121574,-0.01968262320075792,6.6190209694507605,-11.786458958469641,0.9235962857700849,25,Производство готовых металличес,adj_smoothed,24,3
103,127,False,66.79284601185512,0.010325674027790162,-0.019887536773524027,7.121180982430062,-12.831414660954632,0.9270163537866574,25,Производство готовых металличес,adj_smoothed,24,3
104,128,False,72.51202981852182,0.010379998582543227,-0.020168574343015437,7.527820339271768,-13.98434659903898,0.9315907837508774,25,Производство готовых металличес,adj_smoothed,24,3
105,129,False,76.97134626871872,0.010374198781449299,-0.02031151353064145,7.7010628186961885,-14.78304894198493,0.9351893196607712,25,Производство готовых металличес,adj_smoothed,24,3
106,130,False,79.21049454510897,0.01029793301082084,-0.020313803094884862,7.652249920387489,-15.137852657881224,0.9426668203374885,25,Производство готовых металличес,adj_smoothed,24,3
107,131,False,80.28172301723573,0.009975978966698443,-0.01954249083582631,7.324724556452059,-14.664407690982955,0.9330742199888608,25,Производство готовых металличес,adj_smoothed,24,3
108,132,False,80.89597640297728,0.009805364408871104,-0.019154081881523538,6.889364850616784,-13.925615734895057,0.9336061104190437,25,Производство готовых металличес,adj_smoothed,24,3
109,133,False,82.3310361150448,0.009340438741728676,-0.018104486483771342,6.061299061273312,-12.213811101286723,0.9446637820996537,25,Производство готовых металличес,adj_smoothed,24,3
110,134,False,84.33320365969254,0.009009826793212914,-0.017390382162090174,5.527986914843261,-11.009608047243459,0.9494423037150614,25,Производство готовых металличес,adj_smoothed,24,3
111,135,False,82.45751320361806,0.00899525675938644,-0.017200632374735972,5.407714637163625,-10.49632048337941,0.9469103681730903,25,Производство готовых металличес,adj_smoothed,24,3
112,136,False,78.00440761982831,0.009414724766365873,-0.018038343200704368,5.7167084373673465,-10.957338611826223,0.9417703863282951,25,Производство готовых металличес,adj_smoothed,24,3
113,137,False,72.76535741299541,0.009172897124155682,-0.01739511485128436,5.982840056863991,-11.156672644145784,0.9473249906838452,25,Производство готовых металличес,adj_smoothed,24,3
114,138,False,77.11159667642389,0.008679511608696025,-0.01624949446231302,6.277519852511778,-11.32917084736748,0.9342248833921922,25,Производство готовых металличес,adj_smoothed,24,3
115,139,False,75.42101701380705,0.009336880126028803,-0.017715392691633525,6.6487404154541885,-12.176822432059655,0.9431387297600659,25,Производство готовых металличес,adj_smoothed,24,3
116,140,False,73.4422127114168,0.008807631493102912,-0.016370810214224193,5.809148705517808,-10.673444398316438,0.962543610986711,25,Производство готовых металличес,adj_smoothed,24,3
