model,case,regime,stage,start,end,method,active_threshold,validation_r2,validation_mae,alpha,l1_ratio,support_size,true_lag_count,false_lag_count,hit_rate,false_lag_rate,no_model,coef_mae,coef_mae_true,false_coef_l1,sign_correct_share,support_intersection
base,base_a_2_2,затухающие колебания,early,27,52,enter,0.05,0.999999999999995,1.8772431535178196e-08,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.373678560305482,1.9684884211048486,2.141975742255454,1.0,1.0
base,base_a_2_2,затухающие колебания,early,27,52,stepwise,0.05,1.0,8.141635513917814e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,8.074349270001139e-17,8.881784197001252e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,27,52,ridge,0.05,0.9999999999178727,3.901931517798681e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350113051541,2.000001652878901,1.9999834714777942,1.0,1.0
base,base_a_2_2,затухающие колебания,early,27,52,lasso,0.05,0.9997678375871467,0.006560421865030734,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463503,0.03056890087620978,7.216449660066737e-17,1.0,1.0
base,base_a_2_2,затухающие колебания,early,27,52,elastic_net,0.05,0.9999828338055691,0.0017839095335487702,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.363528941406842,2.0035653246080467,1.9952530308672154,1.0,1.0
base,base_a_2_2,затухающие колебания,early,30,55,enter,0.05,0.9999999999954793,9.140429578409955e-07,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.37368003658273,1.9684881389141085,2.141992263495922,1.0,1.0
base,base_a_2_2,затухающие колебания,early,30,55,stepwise,0.05,1.0,2.3684757858670005e-15,,,2.0,1.0,1.0,1.0,0.5,0.0,0.20614934114202024,1.1338213762811091,1.1338213762811136,1.0,1.0
base,base_a_2_2,затухающие колебания,early,30,55,ridge,0.05,0.9999999999178706,3.901982121042498e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36363501128279013,2.000001652878902,1.9999834712317899,1.0,1.0
base,base_a_2_2,затухающие колебания,early,30,55,lasso,0.05,0.9997678375871467,0.006560421865030437,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.002778990988746327,0.030568900876209337,2.553512956637874e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,30,55,elastic_net,0.05,0.9999828338046106,0.0017839095838561396,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635289413845881,2.003565324608047,1.9952530306224225,1.0,1.0
base,base_a_2_2,затухающие колебания,early,33,58,enter,0.05,0.999999985380051,5.218467000955851e-05,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.3736742840571837,1.968500551581383,2.141916573047638,1.0,1.0
base,base_a_2_2,затухающие колебания,early,33,58,stepwise,0.05,1.0,2.9605947323337506e-16,,,3.0,1.0,2.0,1.0,0.6666666666666666,0.0,0.2936546184738955,1.615100401606425,1.615100401606426,1.0,1.0
base,base_a_2_2,затухающие колебания,early,33,58,ridge,0.05,0.9999999999178704,3.901985402639714e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112809978,2.000001652878902,1.9999834712120734,1.0,1.0
base,base_a_2_2,затухающие колебания,early,33,58,lasso,0.05,0.9997678375871467,0.006560421865030437,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.002778990988746311,0.030568900876209337,8.326672684688718e-17,1.0,1.0
base,base_a_2_2,затухающие колебания,early,33,58,elastic_net,0.05,0.999982833804552,0.0017839095871178268,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635289413828078,2.0035653246080467,1.9952530306028389,1.0,1.0
base,base_a_2_2,затухающие колебания,early,36,61,enter,0.05,0.9999999929232622,2.7523460633209023e-05,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.3730381358753551,1.9679748535156252,2.1354446411132812,1.0,1.0
base,base_a_2_2,затухающие колебания,early,36,61,stepwise,0.05,1.0,2.590520390792032e-16,,,6.0,1.0,5.0,1.0,0.8333333333333334,0.0,0.3360170394036209,1.8480937167199145,1.8480937167199156,1.0,1.0
base,base_a_2_2,затухающие колебания,early,36,61,ridge,0.05,0.9999999999178704,3.901985610140398e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36363501128090614,2.000001652878902,1.9999834712110653,1.0,1.0
base,base_a_2_2,затухающие колебания,early,36,61,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899320127033e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,36,61,elastic_net,0.05,0.999982833804548,0.0017839095873238102,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635289413827167,2.0035653246080476,1.9952530306018366,1.0,1.0
base,base_a_2_2,затухающие колебания,early,39,64,enter,0.05,0.9999986343825048,0.0004818063472495175,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.3722439852627841,1.9574462890625002,2.137237548828125,1.0,1.0
base,base_a_2_2,затухающие колебания,early,39,64,stepwise,0.05,1.0,5.921189464667501e-16,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.3612069835503079,1.9866384095266931,1.9866384095266933,1.0,1.0
base,base_a_2_2,затухающие колебания,early,39,64,ridge,0.05,0.9999999999178704,3.901985623555593e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36363501128089876,2.000001652878902,1.9999834712109845,1.0,1.0
base,base_a_2_2,затухающие колебания,early,39,64,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463693,0.03056890087620978,2.83106871279415e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,39,64,elastic_net,0.05,0.9999828338045478,0.0017839095873371513,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36352894138270936,2.0035653246080467,1.9952530306017562,1.0,1.0
base,base_a_2_2,затухающие колебания,early,42,67,enter,0.05,1.0,2.590520390792032e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.023075338232264,2.0230753382322644,1.0,1.0
base,base_a_2_2,затухающие колебания,early,42,67,stepwise,0.05,1.0,1.1102230246251565e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.0230753382322644,1.0,1.0
base,base_a_2_2,затухающие колебания,early,42,67,ridge,0.05,0.9999999999178704,3.9019856243142454e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808984,2.000001652878902,1.9999834712109807,1.0,1.0
base,base_a_2_2,затухающие колебания,early,42,67,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899320127033e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,42,67,elastic_net,0.05,0.9999828338045478,0.001783909587337947,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635289413827091,2.003565324608047,1.9952530306017526,1.0,1.0
base,base_a_2_2,затухающие колебания,early,45,70,enter,0.05,1.0,3.7007434154171886e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.0230753382322644,1.0,1.0
base,base_a_2_2,затухающие колебания,early,45,70,stepwise,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,early,45,70,ridge,0.05,0.9999999999178704,3.901985624147712e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808984,2.000001652878902,1.999983471210981,1.0,1.0
base,base_a_2_2,затухающие колебания,early,45,70,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463693,0.03056890087620978,2.83106871279415e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,45,70,elastic_net,0.05,0.9999828338045478,0.0017839095873378914,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36352894138270897,2.0035653246080467,1.995253030601752,1.0,1.0
base,base_a_2_2,затухающие колебания,early,48,73,enter,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3678318796785934,2.0230753382322644,2.0230753382322635,1.0,1.0
base,base_a_2_2,затухающие колебания,early,48,73,stepwise,0.05,1.0,0.0,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,early,48,73,ridge,0.05,0.9999999999178704,3.901985623944171e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808986,2.000001652878902,1.999983471210982,1.0,1.0
base,base_a_2_2,затухающие колебания,early,48,73,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899320127033e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,48,73,elastic_net,0.05,0.9999828338045478,0.00178390958733791,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.363528941382709,2.003565324608047,1.9952530306017517,1.0,1.0
base,base_a_2_2,затухающие колебания,early,51,76,enter,0.05,1.0,3.7007434154171886e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.0230753382322644,1.0,1.0
base,base_a_2_2,затухающие колебания,early,51,76,stepwise,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,early,51,76,ridge,0.05,0.9999999999178704,3.901985624147712e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808984,2.000001652878902,1.999983471210981,1.0,1.0
base,base_a_2_2,затухающие колебания,early,51,76,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463693,0.03056890087620978,2.83106871279415e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,51,76,elastic_net,0.05,0.9999828338045478,0.0017839095873378914,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36352894138270897,2.0035653246080467,1.995253030601752,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,54,79,enter,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3678318796785934,2.0230753382322644,2.0230753382322635,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,54,79,stepwise,0.05,1.0,0.0,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,54,79,ridge,0.05,0.9999999999178704,3.901985623944171e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808986,2.000001652878902,1.999983471210982,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,54,79,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899320127033e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,54,79,elastic_net,0.05,0.9999828338045478,0.00178390958733791,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.363528941382709,2.003565324608047,1.9952530306017517,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,57,82,enter,0.05,1.0,3.7007434154171886e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.0230753382322644,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,57,82,stepwise,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,57,82,ridge,0.05,0.9999999999178704,3.901985624147712e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808984,2.000001652878902,1.999983471210981,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,57,82,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463693,0.03056890087620978,2.83106871279415e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,57,82,elastic_net,0.05,0.9999828338045478,0.0017839095873378914,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36352894138270897,2.0035653246080467,1.995253030601752,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,60,85,enter,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3678318796785934,2.0230753382322644,2.0230753382322635,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,60,85,stepwise,0.05,1.0,0.0,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,60,85,ridge,0.05,0.9999999999178704,3.901985623944171e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808986,2.000001652878902,1.999983471210982,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,60,85,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899320127033e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,60,85,elastic_net,0.05,0.9999828338045478,0.00178390958733791,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.363528941382709,2.003565324608047,1.9952530306017517,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,63,88,enter,0.05,1.0,3.7007434154171886e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.0230753382322644,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,63,88,stepwise,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,63,88,ridge,0.05,0.9999999999178704,3.901985624147712e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808984,2.000001652878902,1.999983471210981,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,63,88,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463693,0.03056890087620978,2.83106871279415e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,63,88,elastic_net,0.05,0.9999828338045478,0.0017839095873378914,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36352894138270897,2.0035653246080467,1.995253030601752,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,66,91,enter,0.05,1.0,2.220446049250313e-16,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3678318796785934,2.0230753382322644,2.0230753382322635,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,66,91,stepwise,0.05,1.0,0.0,,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36783187967859354,2.0230753382322644,2.023075338232264,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,66,91,ridge,0.05,0.9999999999178704,3.901985623944171e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350112808986,2.000001652878902,1.999983471210982,1.0,1.0
base,base_a_2_2,затухающие колебания,middle,66,91,lasso,0.05,0.9997678375871467,0.006560421865030586,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899320127033e-16,1.0,1.0
