start,end,var_omega,cond_scaled,mean_abs_pair_corr,regime_label,preferred_tool,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,series_code,series_name,variant,window,lags,interpretability_label,var_q10_threshold,cond_q90_threshold,corr_q90_threshold,center_date
72,108,0.0006780446608959,3.693035889253347,0.3617992021792409,turbulent_informative,phase_short_forecast,125.32836111111112,4.037111839977641,0.1433195155570222,0.0260392907141485,0.6764705882352942,1.0,0.6439269536760241,0.5510509680238862,3.0,0.4178094058865189,-0.4846939050765828,-0.0621149333689113,121.85591666666666,128.728,134.075,0.9601193361924296,1.0563951552072086,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-07-01
73,109,0.0006981282947286,3.578957987364117,0.3629247809705071,turbulent_informative,phase_short_forecast,125.71919444444444,3.80015864302944,0.1371707802949739,0.0264221175292343,0.6764705882352942,1.0,0.6003291337104409,0.5418486172212051,5.0,0.2343143164745443,-0.4690976436950589,-0.0409021589081152,122.57891666666666,128.84575,134.075,0.9609975759835916,1.051124887572428,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-08-01
74,110,0.0006692347523216,3.6521227870069928,0.3822519424295612,turbulent_informative,phase_short_forecast,126.05288888888887,3.5222117323713396,0.1172365039013605,0.0258695719392804,0.6470588235294118,1.0,0.5789863654304199,0.4797228341134464,3.0,0.5151443501907419,-0.5191605001545614,-0.1238838011315026,123.44216666666668,129.16891666666666,134.075,0.963407918453602,1.0463921701525545,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-09-01
75,111,0.0006702940507999,3.94987603065722,0.4018255708152479,turbulent_informative,phase_short_forecast,126.20708333333332,3.4252001188495047,0.1170932693291778,0.0258900376747487,0.6176470588235294,1.0,0.5438961986939294,0.4629128603619143,3.0,0.5330112416840955,-0.4815068671352967,-0.0891911133283555,123.83183333333334,129.32966666666667,134.075,0.9646068742619182,1.0443975768212534,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-10-01
76,112,0.0006240289376016,3.832144234144384,0.3997541051289245,turbulent_informative,phase_short_forecast,126.43694444444444,3.225607160283026,0.1098096767602646,0.0249805712024696,0.6470588235294118,1.0,0.5421041383163859,0.456846898227117,3.0,0.4991411365451279,-0.4840608054437705,-0.0909246528647654,124.22016666666669,129.41100000000003,134.075,0.9652134999067687,1.0417873641021789,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-11-01
77,113,0.0007131530064162,3.7778384927605497,0.4011428478629512,turbulent_informative,phase_short_forecast,126.73186111111112,3.493026085031411,0.1163716832586385,0.0267049247596073,0.6176470588235294,1.0,0.5140143215219798,0.4148738051728169,3.0,0.4493513554437717,-0.4721939401550236,-0.1067688588288504,124.84466666666668,129.98650000000004,134.939,0.96329823105255,1.0411858469458048,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-12-01
78,114,0.0007743144369138,3.736022413289334,0.3994713380669329,turbulent_informative,phase_short_forecast,126.81952777777776,3.4712564686940963,0.1162912388843025,0.0278265060134009,0.6176470588235294,1.0,0.4750693374367153,0.4040715373057884,3.0,0.4419532640012835,-0.5319590698122997,-0.10486542143945,125.09666666666668,130.1025,134.939,0.9641578787452108,1.040015721175624,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-01-01
79,115,0.0007692847342514,3.664524128474651,0.3805326276240163,turbulent_informative,phase_short_forecast,127.09413888888886,3.338434364861415,0.1160399694976754,0.0277359826624449,0.6470588235294118,1.0,0.445966313573629,0.4106248731994164,3.0,0.4087348850368456,-0.5260661272357146,-0.0351417055143825,125.40066666666668,130.20000000000002,134.939,0.9648804274524044,1.038271992174417,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-02-01
80,116,0.0007844584066131,3.4007659271320008,0.3684727177654408,turbulent_informative,phase_short_forecast,127.20027777777776,3.281590684841651,0.1159431430312214,0.0280081846361579,0.6470588235294118,1.0,0.4271863233897775,0.3835146561588738,3.0,0.4031715108112103,-0.5600780164130861,-0.0595042830019791,125.68791666666668,129.9935,134.939,0.9633501063443484,1.0342561436892304,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-03-01
81,117,0.0007780508655597,3.199637516234293,0.3517943479855939,turbulent_informative,phase_short_forecast,127.31713888888888,3.26079168260969,0.1158367218169325,0.0278935631563936,0.6470588235294118,1.0,0.409064685922625,0.3771870650146593,3.0,0.3878610352879433,-0.552739495679945,-0.0350137388902948,125.64241666666668,130.15983333333332,134.939,0.9645827620875606,1.0359545509113492,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-04-01
82,118,0.0007964298477549,2.9595938968339084,0.3323526221064443,turbulent_informative,phase_short_forecast,127.6091111111111,3.2852674403039055,0.1155716850590605,0.0282210887060538,0.6176470588235294,1.0,0.3937593072380988,0.3362106651131589,3.0,0.3844207209025723,-0.5385880166967635,-0.0435949924352365,125.86241666666668,130.19558333333333,134.939,0.9648476966135316,1.034427804434604,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-05-01
83,119,0.0007987178139849,2.8494737530666674,0.3350747971632105,turbulent_informative,phase_short_forecast,127.80511111111112,3.3249340743487568,0.1153944460576258,0.0282615960976186,0.6176470588235294,1.0,0.4138193329207341,0.3277877929036139,3.0,0.3673293693339292,-0.5409543739046718,-0.0478682259103505,125.75800000000002,130.01466666666667,134.939,0.963506967345739,1.033848078584795,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-06-01
84,120,0.0007988163559757,2.892878692882408,0.3453269188668947,turbulent_informative,phase_short_forecast,128.0261388888889,3.36036800359704,0.1151952259749039,0.0282633394342526,0.6470588235294118,1.0,0.4249885334080923,0.3656409643618323,3.0,0.354484609371353,-0.5197001549864739,-0.025955954887187,125.40116666666668,129.94925,134.939,0.963022180392622,1.036268269699777,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-07-01
85,121,0.0007913193385123,2.9460364401118255,0.3554335618896814,turbulent_informative,phase_short_forecast,128.22063888888889,3.369997751011264,0.1150204844383909,0.0281303988331546,0.6470588235294118,1.0,0.4455095231908226,0.377018209695162,3.0,0.3647311138675927,-0.5204013165734235,-0.0456595552923794,125.73291666666668,130.08325,134.939,0.9640152216927648,1.034599796526367,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-08-01
86,122,0.0008401977557257,3.008118727141447,0.3717643429165754,turbulent_informative,phase_short_forecast,128.5150277777778,3.712512278214721,0.1369178399153925,0.0289861649019967,0.6764705882352942,1.0,0.4707631131308257,0.4263687626472273,3.0,0.3807003452541053,-0.4699074310151654,0.0071614530512711,125.54758333333332,130.82858333333334,137.787,0.9494987432292838,1.0420637328078135,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2021-09-01
