start,end,var_omega,cond_scaled,mean_abs_pair_corr,regime_label,preferred_tool,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,series_code,series_name,variant,window,lags,interpretability_label,var_q10_threshold,cond_q90_threshold,corr_q90_threshold
120,144,0.0006717806385988266,1.5859908879714304,0.15129231232765272,turbulent_informative,phase_short_forecast,137.39908333333332,2.8129272996392127,0.08472400046337034,0.025918731423409336,0.6818181818181818,1.0,0.1061998334729019,-0.04993900922141812,3.0,0.34398177436936245,-0.6092613758717502,-0.11491869216819053,138.66,135.901,142.539,0.9534302892541692,0.9801024087696525,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
121,145,0.0007104594176123437,1.8645689736826256,0.16538336804633386,turbulent_informative,phase_short_forecast,137.42075,2.795202485956965,0.08471064231566187,0.026654444612715975,0.7272727272727273,1.0,0.16527007297792848,0.05110858757998452,3.0,0.4000926213449898,-0.6715022294153232,-0.0460773028010134,139.136125,135.783375,142.539,0.9526050765053776,0.9759030949007672,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
122,146,0.0006577417270506454,1.8859520014708417,0.16407966877182276,turbulent_informative,phase_short_forecast,137.44795833333333,2.796040898591653,0.0846938735297086,0.025646475918742626,0.6818181818181818,1.0,0.1785384374419351,0.023114056879901607,3.0,0.3998300510381215,-0.6687855308726824,-0.12675958343219937,139.37525,135.98987499999998,142.539,0.9540538028188776,0.9757103574702107,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
123,147,0.0006695199974304586,1.797889732760992,0.15139350906090165,plateau_degenerate,do_not_read_regression,137.08375,2.6758816187380194,0.07848486782714956,0.02587508449127188,0.7272727272727273,1.0,0.11488012379353589,0.04313336201753668,3.0,0.49590119005219685,-0.6597976631681638,-0.0636813320071926,139.265,135.1005,141.657,0.9537156653042208,0.9700965784655156,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
124,148,0.0006808680840022327,1.9045254331612882,0.1511947665098599,plateau_degenerate,do_not_read_regression,136.751625,2.889890522904803,0.07867548191840511,0.0260934490629781,0.6818181818181818,1.0,0.19741573884349586,-0.012201865532071567,3.0,0.4574873891654727,-0.6064165188132787,-0.09082541154155274,138.687375,134.157,141.657,0.9470552108261505,0.9673339047624199,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
125,149,0.0007519320295611459,2.00921033127151,0.16470572621931248,plateau_degenerate,do_not_read_regression,136.706875,2.8832591991312535,0.07870123576447793,0.027421379060163002,0.6818181818181818,1.0,0.17319770082291824,-0.018983585344320177,3.0,0.4424857725813857,-0.6573500519584573,-0.1627581069539027,138.44012500000002,134.72325,141.657,0.9510525424087761,0.9731517506214328,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
126,150,0.0007481438344481998,1.9655629970134116,0.17145043000422303,plateau_degenerate,do_not_read_regression,136.57083333333335,2.823151233796887,0.07877963205906591,0.027352218090096456,0.6818181818181818,1.0,0.1538594157920115,-0.07091135036579115,3.0,0.4361128868944405,-0.6802443632942567,-0.17047391564064326,138.226,134.915625,141.657,0.9524105762510854,0.9760509961946379,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
127,151,0.0009024916674081683,2.0004659248580126,0.17590769663224384,turbulent_informative,phase_short_forecast,136.13008333333332,3.32476674516006,0.10353332382445475,0.03004149908723212,0.6363636363636364,1.0,0.11674180574466142,-0.08303382421451934,3.0,0.46573816669160234,-0.6177332098118451,-0.15041203962700483,137.7555,133.68849999999998,141.657,0.9437479263290904,0.9704766778821896,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
128,152,0.000904627308469645,2.210262891695543,0.19635291068066715,turbulent_informative,phase_short_forecast,135.6414166666667,3.5433054590860347,0.10390631671619477,0.030077022932292433,0.6363636363636364,1.0,0.2838185590153037,-0.1357782951648946,3.0,0.3094915042253576,-0.5726436647800822,-0.16984224195788455,137.63625000000002,133.387,141.657,0.9416195458043018,0.9691269560163109,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
129,153,0.000941574824973255,2.3225872177190494,0.22112668978682648,turbulent_informative,phase_short_forecast,135.36366666666666,3.556648629288847,0.10411952000906208,0.030685091249224843,0.6363636363636364,1.0,0.30871739153008737,-0.08290177661156292,3.0,0.31393416528817897,-0.6453946395928164,-0.2815589188712547,137.34275000000002,132.964875,141.657,0.938639636586967,0.9681244550586032,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
