model,case,regime,window,lags,period,rho,windows,false_lag_rate,hit_rate,no_model_share,mean_false_lag_count,mean_selected_count,mean_b_sum,std_b_sum,mean_R2_enter,rho_band
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,25,3,3,8.333333333333334,155,0.030107526881720425,0.9741935483870968,0.0,0.06451612903225806,2.0129032258064514,-1.399999999487703,3.555399081673827e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,30,3,3,10.0,150,0.008888888888888889,1.0,0.0,0.02666666666666667,2.026666666666667,-1.4000000001038133,2.009185962940795e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,40,3,3,13.333333333333334,140,0.02142857142857143,1.0,0.0,0.06428571428571428,2.0642857142857145,-1.3999999998680683,1.035781444997227e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,50,3,3,16.666666666666668,130,0.005128205128205128,1.0,0.0,0.015384615384615385,2.0153846153846153,-1.3999999999555501,2.918591900914187e-10,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,15,5,3,5.0,165,0.18484848484848485,0.8151515151515152,0.0,0.38181818181818183,2.012121212121212,-1.4000000005875588,1.3015013862770924e-08,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,20,5,3,6.666666666666667,160,0.04583333333333333,0.95625,0.0,0.09375,2.00625,-1.3999999997593304,4.126483775218653e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,25,5,3,8.333333333333334,155,0.047311827956989246,0.9612903225806452,0.0,0.1032258064516129,2.0258064516129033,-1.4000000003002657,5.244678044535084e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,30,5,3,10.0,150,0.01,1.0,0.0,0.03333333333333333,2.033333333333333,-1.3999999995346053,2.822466251363436e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,40,5,3,13.333333333333334,140,0.02142857142857143,1.0,0.0,0.06428571428571428,2.0642857142857145,-1.4000000000219968,7.541517514206631e-10,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,50,5,3,16.666666666666668,130,0.01282051282051282,1.0,0.0,0.038461538461538464,2.0384615384615383,-1.3999999999812982,2.6928444212310003e-10,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,20,10,3,6.666666666666667,160,0.240625,0.759375,0.0,0.51875,2.0375,0.22416445371368404,0.5483504872811706,1.0,rho>=2
