start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
2,27,base,True,0.8000000000000002,1.0000000000000002,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
3,28,base,True,0.8000000000000004,1.0000000000000002,0.8000000000000006,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
4,29,base,True,0.7999999999999998,1.0000000000000002,0.8,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
5,30,base,True,0.8000000000000005,0.9999999999999998,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
6,31,base,True,0.8000000000000005,1.0000000000000002,0.8000000000000006,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
7,32,base,True,0.8000000000000003,1.0000000000000002,0.8000000000000005,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
8,33,base,True,0.8000000000000003,1.0,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
9,34,base,True,0.8,1.0000000000000002,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
10,35,base,True,0.7999999999999998,1.0000000000000007,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
11,36,base,True,0.8,1.0000000000000002,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
12,37,base,True,0.8000000000000007,1.0,0.8000000000000007,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
13,38,base,True,0.8000000000000008,1.0000000000000002,0.8000000000000009,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
14,39,base,True,0.8000000000000007,1.0000000000000009,0.8000000000000014,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
15,40,base,True,0.8000000000000017,1.0000000000000002,0.8000000000000019,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
16,41,base,True,0.8000000000000032,1.0000000000000002,0.8000000000000033,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
17,42,base,True,0.8000000000000079,1.0000000000000004,0.8000000000000084,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
18,43,base,True,0.8000000000000262,1.0000000000000007,0.8000000000000268,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
19,44,base,True,0.800000000000068,1.0000000000000002,0.8000000000000681,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
20,45,base,True,0.8000000000004451,1.0000000000000004,0.8000000000004456,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
