sector_2d,sector_label,interval,start_year,end_year,n_years,years,regime_label,interpretability_label,tool_label,spec,n_obs,adj_r2,r2,top_beta,top_b,beta_x,beta_lag1,beta_lag2,b_x,b_lag1,b_lag2,b_sum,cond_scaled,mean_abs_corr,sign_x,sign_lag1,loo_runs,loo_top_beta_consistency,loo_sign_lag1_consistency
21,"21 — Производство гофрированного картона, бумажной и ",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_current,5,-0.06450540034186236,0.20162094974360312,X_n,X_n,-0.44902221520054314,,,-2.7398244686768863e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
21,"21 — Производство гофрированного картона, бумажной и ",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_lag1,4,0.06587256822156196,0.3772483788143747,Lag_1,Lag_1,,0.6142054858224361,,,4.322473529952009e-06,,4.322473529952009e-06,1.0,0.0,,1.0,0,,
21,"21 — Производство гофрированного картона, бумажной и ",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,4,-0.7740589107198872,0.40864702976003764,Lag_1,Lag_1,0.19545350745587084,0.6966883484736499,,1.3324368352380906e-06,4.902947001313368e-06,,4.902947001313368e-06,1.568519372047271,0.42200758494874685,1.0,1.0,0,,
21,"21 — Производство гофрированного картона, бумажной и ",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M1_current,8,-0.16183009441905982,0.00414563335509166,X_n,X_n,0.06438659297626846,,,1.1720940967477864e-07,,,0.0,1.0,0.0,1.0,,9,1.0,0.0
21,"21 — Производство гофрированного картона, бумажной и ",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M1_lag1,7,0.15793175535919612,0.29827646279933007,Lag_1,Lag_1,,0.5461469241873748,,,1.3511054542311627e-06,,1.3511054542311627e-06,1.0,0.0,,1.0,9,1.0,1.0
21,"21 — Производство гофрированного картона, бумажной и ",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M2_current_lag1,7,0.11085019313086542,0.40723346208724365,Lag_1,Lag_1,-0.7172939222165633,1.1829778056315046,,-1.2917148073022162e-06,2.926552718027897e-06,,2.926552718027897e-06,4.102335035947895,0.8878241704268337,-1.0,1.0,9,0.8888888888888888,0.8888888888888888
21,"21 — Производство гофрированного картона, бумажной и ",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M3_lag1_lag2,6,-0.42916828024918385,0.14249903185048973,Lag_2,Lag_2,,-0.1338361457871204,0.4688812161512991,,-1.3107465084216786e-07,5.589805670363523e-07,4.2790591619418445e-07,2.70178518150777,0.7590257846327005,,-1.0,9,0.4444444444444444,0.2222222222222222
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_current,5,-0.1633985567193874,0.12745108246045944,X_n,X_n,0.3570029165993739,,,1.242487578977276e-05,,,0.0,1.0,0.0,1.0,,6,1.0,0.0
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,4,-0.49280111127739135,0.004799259148405732,Lag_1,Lag_1,,0.06927668546059224,,,2.4383500955284166e-06,,2.4383500955284166e-06,1.0,0.0,,1.0,0,,
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,4,0.4348539268409194,0.8116179756136398,X_n,X_n,0.9171115134179483,-0.11585789147879344,,1.6013655503611407e-05,-4.0778813085068975e-06,,-4.0778813085068975e-06,1.2271300320101528,0.20186702950594804,1.0,-1.0,0,,
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_current,8,0.24764883260724146,0.35512757080620705,X_n,X_n,-0.5959258098171342,,,-2.2635774479897426e-05,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_lag1,7,-0.13263192537396273,0.056140062188364426,Lag_1,Lag_1,,-0.23693894189930995,,,-8.905884588106958e-06,,-8.905884588106958e-06,1.0,0.0,,-1.0,9,1.0,1.0
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,7,0.12306694825621056,0.4153779655041404,X_n,X_n,-0.6552369659411738,0.027820530490290263,,-2.505675694961788e-05,1.0456973925026068e-06,,1.0456973925026068e-06,1.5349529559718715,0.4040667516511422,-1.0,1.0,9,1.0,0.3333333333333333
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M3_lag1_lag2,6,-0.29603304199680824,0.22238017480191508,Lag_2,Lag_2,,0.8393695503696775,-1.1523965733763433,,3.219395379748588e-05,-8.565054159198656e-05,-5.345658779450068e-05,5.486701976658672,0.9356993788153964,,1.0,9,0.7777777777777778,0.6666666666666666
24,24 — Производство прочих фармацевтических продуктов и,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_current,5,0.16003000841783954,0.37002250631337963,X_n,X_n,-0.6082947528241391,,,-1.3244909181745393e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
24,24 — Производство прочих фармацевтических продуктов и,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,4,0.11328141496182098,0.408854276641214,Lag_1,Lag_1,,-0.6394171382135558,,,-2.186747415905719e-06,,-2.186747415905719e-06,1.0,0.0,,-1.0,0,,
24,24 — Производство прочих фармацевтических продуктов и,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,4,-0.5624698671393131,0.4791767109535623,X_n,X_n,-2.533350541440432,1.8800158399591487,,-7.151624518460969e-06,6.429480122128712e-06,,6.429480122128712e-06,19.053893954070077,0.9945062623430653,-1.0,1.0,0,,
24,24 — Производство прочих фармацевтических продуктов и,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,collinearity_heavy,enter_beta_bsum,M1_current,8,-0.02656631657963815,0.12008601436031019,X_n,X_n,0.3465342903095022,,,6.421623093092981e-07,,,0.0,1.0,0.0,1.0,,9,1.0,0.0
24,24 — Производство прочих фармацевтических продуктов и,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,collinearity_heavy,enter_beta_bsum,M1_lag1,7,-0.06245308892294443,0.11462242589754634,Lag_1,Lag_1,,0.33855933881307504,,,1.1481921947382086e-06,,1.1481921947382086e-06,1.0,0.0,,1.0,9,1.0,1.0
24,24 — Производство прочих фармацевтических продуктов и,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,collinearity_heavy,enter_beta_bsum,M2_current_lag1,7,-0.32540593925927985,0.11639604049381347,Lag_1,Lag_1,-0.11485727116457278,0.4454170860432365,,-2.2514457506456868e-07,1.510590206700075e-06,,1.510590206700075e-06,5.26460127931438,0.9303524813596766,-1.0,1.0,9,0.6666666666666666,0.7777777777777778
24,24 — Производство прочих фармацевтических продуктов и,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,collinearity_heavy,enter_beta_bsum,M3_lag1_lag2,6,0.2931776183585141,0.5759065710151084,Lag_2,Lag_2,,-0.5384863593905278,1.0620892453052793,,-2.0021686494877713e-06,6.651565194188197e-06,4.649396544700426e-06,2.5654373087307367,0.7361988673342607,,-1.0,9,0.8888888888888888,0.8888888888888888
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_current,5,0.792730296251781,0.8445477221888358,X_n,X_n,-0.9189927759176546,,,-7.686488607406675e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_lag1,4,-0.32933899825634594,0.11377400116243597,Lag_1,Lag_1,,-0.3373040188945814,,,-2.6048314254806844e-06,,-2.6048314254806844e-06,1.0,0.0,,-1.0,0,,
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,4,0.8780370078484778,0.9593456692828259,X_n,X_n,-1.2017409359781948,0.43639463632291126,,-1.5114091611186229e-05,3.370059053344404e-06,,3.370059053344404e-06,2.148268408905628,0.6438148456578259,-1.0,1.0,0,,
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_current,8,-0.16512905633208508,0.0013179517153556475,X_n,X_n,-0.03630360471572491,,,-2.647222302845075e-07,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_lag1,7,-0.18997896782467927,0.008350860146100647,Lag_1,Lag_1,,0.09138304080134765,,,9.483410273754488e-07,,9.483410273754488e-07,1.0,0.0,,1.0,9,1.0,0.7777777777777778
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,7,-0.38521799781654864,0.07652133478896761,X_n,X_n,0.293457930729959,-0.04258368068366375,,2.7582244926228128e-06,-4.4191844717404246e-07,,-4.4191844717404246e-07,1.6370479792754626,0.45651082303953144,1.0,-1.0,9,0.5555555555555556,0.3333333333333333
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M3_lag1_lag2,6,-0.18278574175681794,0.29032855494590926,Lag_2,Lag_2,,0.16362489377601233,0.4312667293276779,,3.4864012596857975e-06,4.589336070617107e-06,8.075737330302904e-06,1.8548265081847959,0.5495882378367654,,1.0,9,0.6666666666666666,0.6666666666666666
26,26 — Производство изделий из бетона для использования,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_decline,interpretable,structural_m1_m2,M1_current,5,0.4103538329536297,0.5577653747152223,X_n,X_n,-0.7468369130641723,,,-2.2241909375669893e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
26,26 — Производство изделий из бетона для использования,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_decline,interpretable,structural_m1_m2,M1_lag1,4,0.29509328917406374,0.5300621927827092,Lag_1,Lag_1,,-0.728053701853585,,,-2.2176827174958805e-06,,-2.2176827174958805e-06,1.0,0.0,,-1.0,0,,
26,26 — Производство изделий из бетона для использования,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_decline,interpretable,structural_m1_m2,M2_current_lag1,4,0.9971732895148949,0.9990577631716316,X_n,X_n,-0.8348888218684519,-0.25051441080836756,,-3.684550290646005e-06,-7.630776107846861e-07,,-7.630776107846861e-07,1.9164220282506472,0.5719795001884219,-1.0,-1.0,0,,
26,26 — Производство изделий из бетона для использования,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_current,8,0.0506992920029381,0.18631367885966132,X_n,X_n,-0.43164068258177557,,,-2.1279648519176758e-06,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
26,26 — Производство изделий из бетона для использования,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_lag1,7,0.304575416815105,0.42047951401258754,Lag_1,Lag_1,,-0.6484439173996372,,,-3.1315231778426437e-06,,-3.1315231778426437e-06,1.0,0.0,,-1.0,9,1.0,1.0
