model,case,regime,start,end,stage,var_x,var_omega,mean_x,mean_omega,cond_raw,cond_scaled,max_vif,mean_vif,infinite_vif_share,selected_count,false_lag_count,false_lag_rate,hit_rate,no_model,degenerate_window,failure_type,degraded_window,R2_enter,pairwise_b,pairwise_beta,correct_top_b,correct_top_beta,true_beta_mass_share,true_b_mass_share,beta_scale_gap,log10_var_x,log10_var_omega,log10_cond_raw,log10_cond_scaled,var_omega_band,cond_scaled_band
delay,delay_g_1_25,усиленный цикл,11,36,early,0.3909129191731479,0.6260068413059879,0.6557231043025444,0.3514747547520706,525.5285898489367,336.25617000614244,7282.22567807687,4549.042557831125,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999365,0.999999999999965,0.02272727272727374,-0.40791997645213707,-0.2034209205831734,2.7205963475305524,2.526670262006856,Q4,Q4
delay,delay_g_1_25,усиленный цикл,12,37,early,0.30190216122495456,0.6108014362080437,0.5793630832368368,0.43034611962181957,494.7735872426027,335.0662691544446,7898.7692162107,4107.5831752691,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999669,0.9999999999999616,0.022727272727276107,-0.5201337779848112,-0.21409995043602417,2.694406507406228,2.5251307099676876,Q4,Q4
delay,delay_g_1_25,усиленный цикл,13,38,early,0.29621308101189914,0.47172212691399146,0.5751893053279319,0.5257961459539539,647.6559393634968,1214.8080943216678,102580.5644246517,29611.843340924246,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.99999999999994,0.9999999999999044,0.02272727272728031,-0.5283957665918373,-0.3263137519686984,2.811344352600931,3.0845076769797837,Q4,Q4
delay,delay_g_1_25,усиленный цикл,14,39,early,0.36415342075566987,0.46283293908109246,0.6922136974123614,0.5310133683400853,861.35665140243,2355.6605289609024,401070.1932728662,97321.72247243291,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.999999999999658,0.9999999999998813,0.02272727272729712,-0.43871560604931364,-0.3345757405757244,2.9351830116912265,3.3721127050363147,Q4,Q4
delay,delay_g_1_25,усиленный цикл,15,40,early,0.35084674551686146,0.5689897199307343,0.7762009412220099,0.3847328782345482,1424.7099649142015,2055.2603488676878,338196.99205865694,73640.13206251449,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999998024,0.9999999999998547,0.022727272727288875,-0.4548825476676552,-0.2448955800332007,3.1537264619181022,3.3128668436889197,Q4,Q4
delay,delay_g_1_25,усиленный цикл,16,41,early,0.3559140880384348,0.5481980398700962,0.7723565241019784,0.27974882347248736,337.11600776077614,4513.641695460133,1714352.2263630715,343980.35498459154,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999997868,0.9999999999992845,0.02272727272733349,-0.4486548211103409,-0.2610625216515422,2.527779375235633,3.6545270806919667,Q4,Q4
delay,delay_g_1_25,усиленный цикл,17,42,early,0.37628920975013774,0.5561157625600546,0.7547571919004682,0.284554344872527,223.63330285323585,121.14575525361724,946.2447708422657,655.9558630042709,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999769,0.9999999999999817,0.022727272727274248,-0.4244782350767912,-0.25483479509422785,2.3495364779640515,2.083308201781599,Q4,Q4
delay,delay_g_1_25,усиленный цикл,18,43,early,0.40174623731637693,0.5879518902345904,0.7185811452826024,0.3065535101244148,213.00237369990103,124.44073543784891,1089.0734210043388,670.709912461763,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999858,0.9999999999999923,0.02272727272727374,-0.3960481820702483,-0.2306582090606783,2.3283844432463647,2.094962569100566,Q4,Q4
delay,delay_g_1_25,усиленный цикл,19,44,early,0.3950671289208641,0.6277284958068391,0.6540027313796607,0.35177356839674684,207.90707351448617,134.86006990618756,1202.6500996179348,738.21691663288,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999858,0.9999999999999639,0.02272727272727569,-0.40332910375860376,-0.20222815605413536,2.317869265358646,2.1298833804619592,Q4,Q4
delay,delay_g_1_25,усиленный цикл,20,45,early,0.30630154823564576,0.6172923889388503,0.5731377612952805,0.4324965857754245,195.76080787039598,134.66141946930233,1319.2522948570077,666.6104003936761,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999831,0.9999999999999659,0.022727272727275812,-0.5138508079975465,-0.2095090777424908,2.2917257486043128,2.1292431880647658,Q4,Q4
delay,delay_g_1_25,усиленный цикл,21,46,early,0.28854818278783106,0.47859616911819675,0.5596241505647724,0.5335777983808994,247.2562611433015,487.0663814854775,13870.98785433952,4755.923490282432,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.999999999999984,0.9999999999999684,0.022727272727274494,-0.5397816564365956,-0.3200307819814334,2.393147297824557,2.687588154537463,Q4,Q4
