model,case,regime_family,start,end,true_label,predicted_label,true_tool,recommended_tool,true_regression_admissible,predicted_regression_admissible,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,selected,no_model,b_sum,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate
base,base_a_2_8,chaotic_informative,42,67,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.878448530291177,0.3331649578505461,1.1796363981709455,0.9487985939425211,0.8260869565217391,1.0,-0.5736796145636831,0.05888583354245345,5.0,0.4955047264212395,-1.0,0.5849976048397464,0.8313038400482922,0.9316858542453866,1.28745745015462,0.723663414378078,1.1207524966939442,['X_n'],0,-1.532107773982716e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,43,68,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8666264284776743,0.3242058551075208,1.195728431766768,0.9243818252008851,0.8260869565217391,1.0,-0.5288416516479588,0.06085148175658983,5.0,0.47488219607443927,-1.0,0.5376156701392403,0.8303367691472479,0.9361835171006073,1.28745745015462,0.7271568602039424,1.1274744800980734,['X_n'],0,-1.1046719095020308e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,44,69,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959581797536511,0.3053090929509228,1.1565828446771562,0.8681416109523195,0.8695652173913043,1.0,-0.5489530635675927,0.13596714304982113,5.0,0.3472992521571462,-1.0,0.5583328618250455,0.8335155110795132,0.9291995476502047,1.28745745015462,0.7217322386371763,1.1147957480080581,['X_n'],0,-1.8207657603852567e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,45,70,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959679171670994,0.3053096325528225,1.1565702748907496,0.8724383545271628,0.8695652173913043,1.0,-0.554042809605775,0.13975421436352994,5.0,0.34894312710451125,-1.0,0.5587926929384124,0.8398168925177919,0.9446294515603213,1.28745745015462,0.7337170261020074,1.124804061428556,['X_n'],0,-3.108624468950438e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,46,71,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959551403325662,0.3052996054097036,1.1565867682466815,0.8612129007513367,0.8695652173913043,1.0,-0.5357743394210553,0.11681732122399673,5.0,0.3212053553259182,-1.0,0.545418721597978,0.8306634568817846,0.9297057994706945,1.28745745015462,0.7221254569298887,1.1192328153699016,['X_n'],0,7.549516567451064e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,47,72,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959878381190781,0.3052791015414289,1.1565445602773077,0.8652603848118888,0.8695652173913043,1.0,-0.5342971804239903,0.0671667300146454,5.0,0.2655520402798841,-0.9999999999999998,0.5256498156920683,0.8522198302024877,0.9728730831825436,1.28745745015462,0.7556545523626464,1.141575270492578,['X_n'],0,-2.145505995088115e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,48,73,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.895983084345821,0.3052730064462914,1.15641805523184,0.8419905873764771,0.8695652173913043,1.0,-0.4961141558435936,0.1394469144049966,5.0,0.26735320518141714,-1.0,0.4848518693329881,0.8387264224283629,1.0082388792498838,1.2873386058231953,0.7831963359827621,1.2021069711035592,['X_n'],0,6.9111383282915995e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,49,74,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8959992919980172,0.3052387822268857,1.155944914091749,0.7871462833531134,0.9130434782608695,1.0,-0.643607955675112,0.3240128359594583,5.0,0.2722358445608747,-1.0,0.6067800227001341,0.8806573137453699,0.9156900440331744,1.2873386058231953,0.7113047335728985,1.0397802070578541,['X_n'],0,2.1566082253343666e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,50,75,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8960380623708245,0.3052238396466355,1.155894897895846,0.8695675300636346,0.9130434782608695,1.0,-0.5440812433315444,0.2732398783971982,15.0,0.27217605382658877,-1.0,0.6402308241315462,0.9416242230239147,0.8862711277971911,1.2873386058231953,0.6884522252251267,0.9412153023751197,['X_n'],0,-2.4980018054066022e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,51,76,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8960163927926224,0.30519789915882406,1.1559228524679777,0.8457722011378083,0.8695652173913043,1.0,-0.5045035953917938,0.126932787936001,15.0,0.28929400108951436,-1.0,0.5039290296412463,0.824453998418161,0.9221804076314604,1.2873386058231953,0.7163464246780414,1.1185347022402732,['X_n'],0,-3.4638958368304884e-14,1.0,1.0,1.0,0.0,0.0
