case,component,variable,abs_loading,loading_share,is_true_predictor
mixed_q_2_8_gamma_0_5,7,Lag_4,0.3843257786994648,0.1496590097330724,0
mixed_q_2_8_gamma_0_5,7,Lag_7,0.3055970368583779,0.12599734542369073,0
mixed_q_2_8_gamma_0_5,7,Lag_8,0.30030149416452556,0.1276397015341271,0
mixed_q_2_8_gamma_0_5,7,Lag_5,0.29754596866841687,0.11313339160281681,0
mixed_q_2_8_gamma_0_5,7,Lag_6,0.29069406831764455,0.1269789758412681,0
mixed_q_2_8_gamma_0_5,7,Lag_3,0.22655379883286933,0.08417398290548797,0
mixed_q_2_8_gamma_0_5,7,Lag_9,0.21501071469747907,0.09034414004985293,0
mixed_q_2_8_gamma_0_5,7,Lag_2,0.20211184858015646,0.07601148061477846,0
mixed_q_2_8_gamma_0_5,7,Lag_10,0.12337142336419338,0.04969368796386975,0
mixed_q_2_8_gamma_0_5,7,Lag_1,0.10677609874053991,0.041622173980014526,1
mixed_q_2_8_gamma_0_5,7,X_n,0.03851872234011469,0.01474611035102125,1
mixed_q_2_8_gamma_0_5,8,Lag_6,0.4588134982759944,0.17815725890172782,0
mixed_q_2_8_gamma_0_5,8,Lag_7,0.40903413038757747,0.16004851390362668,0
mixed_q_2_8_gamma_0_5,8,Lag_8,0.39577799430878385,0.15782445648844565,0
mixed_q_2_8_gamma_0_5,8,Lag_5,0.34831076727155247,0.13303835358530205,0
mixed_q_2_8_gamma_0_5,8,Lag_9,0.3299000981866848,0.1255051895792266,0
mixed_q_2_8_gamma_0_5,8,Lag_4,0.14899834069801002,0.057496301543769314,0
mixed_q_2_8_gamma_0_5,8,Lag_10,0.1331418205667784,0.048476189414795263,0
mixed_q_2_8_gamma_0_5,8,Lag_3,0.12886029572259777,0.04846947716648576,0
mixed_q_2_8_gamma_0_5,8,X_n,0.09182115052181006,0.03524170623214978,1
mixed_q_2_8_gamma_0_5,8,Lag_2,0.07805787170885692,0.029016239346203076,0
mixed_q_2_8_gamma_0_5,8,Lag_1,0.06775266415495082,0.026726313838268,1
