case,component,variable,abs_loading,loading_share,is_true_predictor
mixed_q_2_8_gamma_0_5,1,Lag_7,0.33037776080358755,0.10901520093141663,0
mixed_q_2_8_gamma_0_5,1,Lag_10,0.3235747717234228,0.1066555991242978,0
mixed_q_2_8_gamma_0_5,1,Lag_5,0.09928136522302629,0.03294497712076784,0
mixed_q_2_8_gamma_0_5,1,Lag_8,0.09498143776664791,0.03138567541648615,0
mixed_q_2_8_gamma_0_5,1,Lag_2,0.09443670462893551,0.031179900458188806,0
mixed_q_2_8_gamma_0_5,2,Lag_2,0.4348842429971831,0.14243227299122913,0
mixed_q_2_8_gamma_0_5,2,Lag_5,0.4302926577925223,0.1407225681327049,0
mixed_q_2_8_gamma_0_5,2,Lag_8,0.4251564221965082,0.1389912570646736,0
mixed_q_2_8_gamma_0_5,2,Lag_4,0.24148147858916952,0.07960069230769004,0
mixed_q_2_8_gamma_0_5,2,Lag_1,0.2346870393493017,0.07693718809987858,1
mixed_q_2_8_gamma_0_5,2,Lag_7,0.23393750184022308,0.07675826268195188,0
mixed_q_2_8_gamma_0_5,2,Lag_10,0.22347833287070692,0.07287533924678057,0
mixed_q_2_8_gamma_0_5,2,Lag_6,0.21151722361450925,0.06963310337934539,0
mixed_q_2_8_gamma_0_5,2,Lag_3,0.206768592313867,0.06780947739883479,0
mixed_q_2_8_gamma_0_5,2,X_n,0.20573721761277977,0.06741127998500386,1
mixed_q_2_8_gamma_0_5,2,Lag_9,0.20420056559348862,0.06682855871190727,0
mixed_q_2_8_gamma_0_5,3,Lag_10,0.4712160255281508,0.19721850134017443,0
mixed_q_2_8_gamma_0_5,3,Lag_9,0.41167828355313063,0.1635277878602853,0
mixed_q_2_8_gamma_0_5,3,Lag_8,0.30996768055268487,0.12528019722160247,0
mixed_q_2_8_gamma_0_5,3,Lag_7,0.26849702899717287,0.10255419622013404,0
mixed_q_2_8_gamma_0_5,3,Lag_5,0.18415716780686187,0.07024224375723012,0
mixed_q_2_8_gamma_0_5,3,Lag_2,0.1800805736125072,0.07042424957882998,0
mixed_q_2_8_gamma_0_5,3,X_n,0.17537810058576495,0.06883327378002076,1
mixed_q_2_8_gamma_0_5,3,Lag_1,0.13891750876406422,0.0549624349707998,1
mixed_q_2_8_gamma_0_5,3,Lag_6,0.1373269925977369,0.05522565898108369,0
mixed_q_2_8_gamma_0_5,3,Lag_3,0.1308547748660574,0.049652977857423716,0
mixed_q_2_8_gamma_0_5,3,Lag_4,0.10702310547647462,0.042078478432415696,0
mixed_q_2_8_gamma_0_5,4,Lag_9,0.45613313770620156,0.19392635333442987,0
mixed_q_2_8_gamma_0_5,4,Lag_10,0.4092610777689021,0.16493378146725116,0
mixed_q_2_8_gamma_0_5,4,Lag_8,0.3017804100763124,0.11317118976412183,0
mixed_q_2_8_gamma_0_5,4,Lag_7,0.2810097872452913,0.10791381764128803,0
mixed_q_2_8_gamma_0_5,4,Lag_1,0.218968914101472,0.08250812430386371,1
mixed_q_2_8_gamma_0_5,4,Lag_6,0.1905547372936614,0.07218532365638045,0
mixed_q_2_8_gamma_0_5,4,Lag_2,0.17807681967042435,0.06888118128178725,0
mixed_q_2_8_gamma_0_5,4,X_n,0.1680396674896942,0.06219493726931607,1
mixed_q_2_8_gamma_0_5,4,Lag_4,0.11888963189018134,0.047325232116282284,0
mixed_q_2_8_gamma_0_5,4,Lag_5,0.11677793910053008,0.04555961533618962,0
mixed_q_2_8_gamma_0_5,4,Lag_3,0.10976895711848947,0.041400443829089646,0
mixed_q_2_8_gamma_0_5,5,Lag_10,0.346942396612099,0.13178398095446367,0
mixed_q_2_8_gamma_0_5,5,Lag_7,0.3204727415917551,0.13118187669575235,0
mixed_q_2_8_gamma_0_5,5,Lag_6,0.28387151303465247,0.11550667189787919,0
mixed_q_2_8_gamma_0_5,5,X_n,0.23549138642862863,0.09034415148857136,1
mixed_q_2_8_gamma_0_5,5,Lag_9,0.22315693388617572,0.09376569381332248,0
mixed_q_2_8_gamma_0_5,5,Lag_8,0.2192414171553239,0.08787097812886768,0
mixed_q_2_8_gamma_0_5,5,Lag_1,0.21086408185520603,0.07924496104828456,1
mixed_q_2_8_gamma_0_5,5,Lag_5,0.19459935676044487,0.07675002840548979,0
mixed_q_2_8_gamma_0_5,5,Lag_2,0.190662521228147,0.07141589100449208,0
mixed_q_2_8_gamma_0_5,5,Lag_4,0.16634638488583373,0.0637413212350236,0
mixed_q_2_8_gamma_0_5,5,Lag_3,0.15370006757317795,0.05839444532785327,0
mixed_q_2_8_gamma_0_5,6,Lag_5,0.2940537783662569,0.11521924069931748,0
mixed_q_2_8_gamma_0_5,6,Lag_1,0.2818609383209292,0.09975448781456986,1
mixed_q_2_8_gamma_0_5,6,Lag_6,0.2814878276962538,0.11229238757975218,0
mixed_q_2_8_gamma_0_5,6,Lag_7,0.255855060448079,0.10992140515789406,0
mixed_q_2_8_gamma_0_5,6,Lag_9,0.2541665008850907,0.10676363589578573,0
mixed_q_2_8_gamma_0_5,6,Lag_8,0.2370793444445289,0.09315368937156726,0
mixed_q_2_8_gamma_0_5,6,Lag_4,0.22321793783578744,0.08259486362177368,0
mixed_q_2_8_gamma_0_5,6,Lag_10,0.2159459838142863,0.08018491500044668,0
mixed_q_2_8_gamma_0_5,6,X_n,0.20854617009029622,0.07500135469790076,1
mixed_q_2_8_gamma_0_5,6,Lag_2,0.18789156328884157,0.06726621958891062,0
mixed_q_2_8_gamma_0_5,6,Lag_3,0.16220916869326743,0.05784780057208175,0
