model,case,regime,start,stage,component,variable,loading,abs_loading,loading_share,is_true_predictor
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_4,-0.24630909418415267,0.24630909418415267,0.07989429977766392,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_5,0.45623616083398394,0.45623616083398394,0.1479875062015717,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_6,-0.18225033298093263,0.18225033298093263,0.059115814566194476,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_7,-0.24629922843788757,0.24629922843788757,0.07989109966484532,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_8,0.45623773825739966,0.45623773825739966,0.14798801786412183,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_9,-0.18226570993710364,0.18226570993710364,0.0591208023282179,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_10,-0.24639349945583489,0.24639349945583489,0.07992167797943486,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,X_n,-0.3041873202604717,0.3041873202604717,0.09846318283473204,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_1,0.38504319207980586,0.38504319207980586,0.1246356297447202,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_2,-0.11076913911672863,0.11076913911672863,0.03585515000413912,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_3,-0.3041767449885021,0.3041767449885021,0.09845975969751326,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_4,0.3850546773770272,0.3850546773770272,0.12463934745037357,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_5,-0.11082624165157362,0.11082624165157362,0.03587363367178166,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_6,-0.304158128200569,0.304158128200569,0.09845373358113048,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",75,middle,1,Lag_7,0.38507221544145265,0.38507221544145265,0.12464502439194566,0
