model,case,regime,start,end,stage,true_predictor_count,cond_original,cond_pcr,cond_reduction_ratio,enter_validation_r2,pcr_validation_r2,enter_validation_mae,pcr_validation_mae,enter_true_mass_share,pcr_true_mass_share,enter_support_90,pcr_support_90,enter_pairwise,pcr_pairwise,enter_topk,pcr_topk,enter_false_lag_rate,pcr_false_lag_rate,enter_hit_rate,pcr_hit_rate,retained_components,explained_variance_share,pc1_share,component_dominance,component_true_loading_share
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",54,79,middle,2.0,1.5528186117148056e+16,1.1109021743610465,1.3977995970778746e+16,0.9999999999538187,0.9999650057521648,3.117256984134601e-06,0.003256661317611894,0.7484443151536108,0.145063403522583,4.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.6,0.8571428571428571,1.0,0.5,2.0,0.9999893125608741,0.5523872881027666,0.13314465125104358,0.18343738403989668
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",55,80,middle,2.0,1.4128318896997214e+16,1.0470705897926766,1.3493186643504778e+16,0.9999999999938332,0.9999742933827147,1.174802372864529e-06,0.0023742179222209594,0.8034053954027512,0.1457438612870548,5.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.8571428571428571,1.0,0.5,2.0,0.9999906545660766,0.5229770827248637,0.13244058704561845,0.18604135602295813
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",56,81,middle,2.0,1.6517820674098128e+16,1.1502806642886536,1.4359817727017894e+16,0.9999999999946223,0.9999811694998763,1.2351743634379335e-06,0.0018157998312538504,0.7905667814470191,0.13762446632044537,4.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.5,0.8571428571428571,1.0,0.5,2.0,0.9999908217922268,0.5695439230116973,0.13601670971233154,0.1884275237378312
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",57,82,middle,2.0,1.589708380501801e+16,1.110826611980787,1.4311039755044118e+16,0.9999999997777628,0.9999955437546876,8.107673961255113e-06,0.0007961910973157867,0.4772174526964769,0.14509524627067552,8.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.999991058171417,0.5523546152471359,0.1331563350924855,0.18343665064974685
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",58,83,middle,2.0,6429366811330999.0,1.047278112851619,6139120766903612.0,0.9999999998390274,0.9999938889472434,7.2503185189476405e-06,0.0013202764217459435,0.4778277440486958,0.1457045391268351,8.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.9999922682262858,0.5230768027912137,0.13245188485681247,0.18590804004629663
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",59,84,middle,2.0,8126194431568585.0,1.1504166323376017,7063696927830811.0,0.9999999999408122,0.9999974682186475,3.943428923754618e-06,0.000908533927162373,0.48371919324479956,0.13772137039584212,7.0,7.0,1.0,0.3888888888888889,1.0,0.0,0.7777777777777778,0.8571428571428571,1.0,0.5,2.0,0.9999943288467704,0.5696038743357328,0.13601087950249796,0.1884657643546034
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",60,85,middle,2.0,1.6653594695416414e+16,1.1105190196353103,1.4996226449939942e+16,0.9999999999207392,0.9999956101385358,5.166947654122733e-06,0.001179590393211009,0.49586930037192667,0.1450165953316132,7.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.8181818181818182,0.8571428571428571,1.0,0.5,2.0,0.9999956318843615,0.5522201855201773,0.13315049396241707,0.18345408857446105
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",61,86,middle,2.0,9459500396637170.0,1.0474844249942077,9030683579557260.0,0.9999999999217409,0.999995996020925,4.817134286479637e-06,0.0011542354682682054,0.5015645783979511,0.14569270718224042,7.0,7.0,0.9444444444444444,0.3333333333333333,0.5,0.0,0.75,0.8571428571428571,1.0,0.5,2.0,0.9999967914623673,0.523177447241135,0.13242826122381426,0.18596579984042336
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",62,87,middle,2.0,7.977720391847509e+16,1.1501575084900257,6.9361981580427096e+16,0.9999999999891671,0.9999943361675929,1.8612737771965075e-06,0.0013335294801676094,0.5813048031458773,0.13768766577207417,6.0,7.0,1.0,0.4444444444444444,1.0,0.0,0.75,0.8571428571428571,1.0,0.5,2.0,0.9999980453938444,0.5694955365571313,0.13599482631405424,0.18850353049190338
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",63,88,middle,2.0,2.106595682522474e+16,1.110319473447708,1.8972878823616228e+16,0.9999999999829068,0.9999947619699527,2.319315714094383e-06,0.0012794225900617333,0.9890794733243986,0.14493824686471463,2.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.8571428571428571,1.0,0.5,2.0,0.9999985530862818,0.552132925576477,0.1331311648981479,0.18346707647387953
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",64,89,middle,2.0,8845294528901474.0,1.0475361515501942,8443903836456416.0,0.999999999993832,0.9999962291608855,1.4452063158606105e-06,0.0009736770793003687,0.7207184068342147,0.1457037523761316,6.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.75,0.8571428571428571,1.0,0.5,2.0,0.9999987821494063,0.5232031258168235,0.13242083257000387,0.18607801297840476
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",65,90,middle,2.0,7976671043896587.0,1.149886308558642,6936921489129803.0,0.9999999999925983,0.9999968403346728,1.5140639220886005e-06,0.0008057410905479845,0.8595367450627721,0.1376112624932277,3.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.5,0.8571428571428571,1.0,0.5,2.0,0.9999988156348871,0.5693803387220568,0.13598814720073074,0.1885131136048016
