date,series_code,series_name,series_label,variant,index_value
2019-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.106
2019-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,116.471
2019-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,118.234
2019-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,117.452
2019-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.961
2019-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,116.301
2019-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,116.039
2020-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.994
2020-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.053
2020-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.464
2020-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.542
2020-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.106
2020-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.275
2020-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.963
2020-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,106.183
2020-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,106.494
2020-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,106.022
2020-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.324
2020-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.189
2021-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.187
2021-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.888
2021-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,109.345
2021-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,111.742
2021-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.176
2021-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.106
2021-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.603
2021-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.098
2021-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.085
2021-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.681
2021-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.433
