alpha,threshold_in,threshold_out,model,case,regime,start,end,stage,var_omega,cond_scaled,interpretability,degenerate_window,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate,miss_rate,no_model,exact_recovery
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,62,87,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,63,88,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,64,89,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,65,90,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,66,91,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,67,92,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,68,93,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,69,94,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,70,95,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,71,96,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,72,97,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,73,98,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,74,99,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
