model,case,regime,start,end,stage,mean_abs_corr,max_abs_corr,false_stepwise,problem_window,selected_count,R2_enter,top_b,top_beta,correct_top_b,correct_top_beta,topk_b,topk_beta,pairwise_b,pairwise_beta,margin_b,margin_beta,delta_pairwise
delay,delay_g_1_25,сложный цикл,70,95,middle,0.507798463075731,0.9966408474933995,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999893,0.9999999999999949,0.0
delay,delay_g_1_25,сложный цикл,71,96,middle,0.5191478167075412,0.9964215204606938,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999813,0.9999999999999996,0.0
delay,delay_g_1_25,сложный цикл,72,97,middle,0.513876861327196,0.9964215204606938,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999476,0.9999999999999831,0.0
delay,delay_g_1_25,сложный цикл,73,98,middle,0.5112112142560281,0.9895624899927429,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999998,0.9999999999999994,0.0
delay,delay_g_1_25,сложный цикл,74,99,middle,0.5119662031996858,0.9899450268050455,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999971,0.9999999999999978,0.0
delay,delay_g_1_25,сложный цикл,75,100,middle,0.5161604446335276,0.9899450268050455,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999998,0.9999999999999971,0.0
delay,delay_g_1_25,сложный цикл,76,101,middle,0.5086532425410598,0.9899450268050455,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999976,0.9999999999999987,0.0
delay,delay_g_1_25,сложный цикл,77,102,middle,0.5034409418855599,0.9891514234495318,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999964,0.9999999999999962,0.0
delay,delay_g_1_25,сложный цикл,78,103,middle,0.5044336477451044,0.9819625292280646,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999343,0.9999999999999805,0.0
delay,delay_g_1_25,сложный цикл,79,104,middle,0.5172805984980513,0.9794295450346935,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999962,0.9999999999999918,0.0
delay,delay_g_1_25,сложный цикл,80,105,middle,0.510234853425241,0.9794295450346935,1,1,2.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999936,0.9999999999999942,0.0
delay,delay_g_1_25,сложный цикл,81,106,middle,0.5047164752219727,0.9511922589065347,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999982,0.999999999999998,0.0
delay,delay_g_1_25,сложный цикл,82,107,middle,0.5020993948002126,0.9451537690709239,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999996,0.9999999999999994,0.0
delay,delay_g_1_25,сложный цикл,83,108,middle,0.5088252757784182,0.9451537690709239,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999996,0.999999999999998,0.0
delay,delay_g_1_25,сложный цикл,84,109,middle,0.5038398740041293,0.9451537690709239,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999962,0.9999999999999988,0.0
delay,delay_g_1_25,сложный цикл,85,110,middle,0.49455107135905335,0.94454959572956,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999997,1.0,0.0
delay,delay_g_1_25,сложный цикл,86,111,middle,0.4956167849272027,0.9356579986171694,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999993,0.9999999999999967,0.0
delay,delay_g_1_25,сложный цикл,87,112,middle,0.5083725860266168,0.9356579986171694,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999953,0.9999999999999956,0.0
delay,delay_g_1_25,сложный цикл,88,113,middle,0.4950651328602638,0.9356579986171694,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999989,0.9999999999999949,0.0
delay,delay_g_1_25,сложный цикл,89,114,middle,0.4910526538308101,0.909488043057183,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999998,0.9999999999999998,0.0
delay,delay_g_1_25,сложный цикл,90,115,middle,0.4956573179522594,0.9109201668793653,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999953,0.9999999999999976,0.0
delay,delay_g_1_25,сложный цикл,91,116,middle,0.5016370375140624,0.9183616049304754,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999978,0.9999999999999992,0.0
delay,delay_g_1_25,сложный цикл,92,117,middle,0.49495635221675977,0.9183616049304754,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999982,0.9999999999999984,0.0
delay,delay_g_1_25,сложный цикл,93,118,middle,0.49404129071560177,0.9183616049304754,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999927,0.9999999999999996,0.0
delay,delay_g_1_25,сложный цикл,94,119,middle,0.496353409171462,0.9385206257069623,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999982,0.9999999999999946,0.0
delay,delay_g_1_25,сложный цикл,95,120,middle,0.5078601198559354,0.9385206257069623,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999987,0.9999999999999977,0.0
delay,delay_g_1_25,сложный цикл,96,121,middle,0.5075446737200179,0.9385206257069623,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999964,0.9999999999999964,0.0
delay,delay_g_1_25,сложный цикл,97,122,middle,0.5017424202861966,0.9145162523776527,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999964,0.9999999999999973,0.0
delay,delay_g_1_25,сложный цикл,98,123,middle,0.49466072814586287,0.9173243387178622,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999984,0.9999999999999986,0.0
delay,delay_g_1_25,сложный цикл,99,124,middle,0.5008840150242545,0.924155746399953,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999998,0.9999999999999986,0.0
delay,delay_g_1_25,сложный цикл,100,125,middle,0.4972100799152201,0.924155746399953,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999953,0.9999999999999998,0.0
delay,delay_g_1_25,сложный цикл,101,126,middle,0.4920672059792269,0.924155746399953,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999925,0.9999999999999976,0.0
